,Timestamp,CALM,ANGRY,CONFUSED,SAD,SURPRISED,DISGUSTED,FEAR,HAPPY
0,0,0.4691358024691358,0.1604938271604938,0.1604938271604938,0.1851851851851852,0.01234567901234568,0.01234567901234568,0,0
1,1,0.4444444444444444,0.1728395061728395,0.1481481481481481,0.1975308641975309,0,0.02469135802469136,0.01234567901234568,0
2,2,0.4197530864197531,0.1111111111111111,0.1728395061728395,0.2345679012345679,0.02469135802469136,0.02469135802469136,0,0.01234567901234568
3,3,0.4567901234567901,0.1481481481481481,0.1604938271604938,0.1975308641975309,0.01234567901234568,0.01234567901234568,0,0.01234567901234568
4,4,0.4938271604938271,0.1111111111111111,0.1481481481481481,0.2345679012345679,0,0,0,0.01234567901234568
5,5,0.4320987654320987,0.1234567901234568,0.1851851851851852,0.2345679012345679,0.02469135802469136,0,0,0
6,6,0.4691358024691358,0.09876543209876543,0.1851851851851852,0.2345679012345679,0.01234567901234568,0,0,0
7,7,0.5308641975308642,0.07407407407407407,0.1851851851851852,0.1604938271604938,0.02469135802469136,0.02469135802469136,0,0
8,8,0.4814814814814815,0.09876543209876543,0.1975308641975309,0.1851851851851852,0.03703703703703703,0,0,0
9,9,0.4691358024691358,0.07407407407407407,0.1728395061728395,0.2345679012345679,0.03703703703703703,0.01234567901234568,0,0
10,10,0.4320987654320987,0.09876543209876543,0.2098765432098765,0.2098765432098765,0.02469135802469136,0.02469135802469136,0,0
11,11,0.382716049382716,0.1111111111111111,0.2469135802469136,0.1975308641975309,0.01234567901234568,0.02469135802469136,0.01234567901234568,0.01234567901234568
12,12,0.4197530864197531,0.07407407407407407,0.1851851851851852,0.2469135802469136,0.03703703703703703,0.03703703703703703,0,0
13,13,0.4320987654320987,0.1111111111111111,0.1728395061728395,0.2345679012345679,0.02469135802469136,0.02469135802469136,0,0
14,14,0.4814814814814815,0.08641975308641975,0.2098765432098765,0.1851851851851852,0.02469135802469136,0.01234567901234568,0,0
15,15,0.4691358024691358,0.08641975308641975,0.2345679012345679,0.1851851851851852,0,0.02469135802469136,0,0
16,16,0.4074074074074074,0.1728395061728395,0.1851851851851852,0.1975308641975309,0.01234567901234568,0.02469135802469136,0,0
17,17,0.4074074074074074,0.1358024691358025,0.2592592592592592,0.1604938271604938,0.02469135802469136,0,0,0.01234567901234568
18,18,0.382716049382716,0.1234567901234568,0.2098765432098765,0.2222222222222222,0.01234567901234568,0.03703703703703703,0,0.01234567901234568
19,19,0.3209876543209876,0.1234567901234568,0.1975308641975309,0.2839506172839506,0.03703703703703703,0.02469135802469136,0,0.01234567901234568
20,20,0.3333333333333333,0.1358024691358025,0.2469135802469136,0.2098765432098765,0.02469135802469136,0.02469135802469136,0,0.02469135802469136
21,21,0.3950617283950617,0.1111111111111111,0.2469135802469136,0.1851851851851852,0.02469135802469136,0.01234567901234568,0.01234567901234568,0.01234567901234568
22,22,0.4444444444444444,0.1481481481481481,0.1851851851851852,0.1728395061728395,0,0.01234567901234568,0.01234567901234568,0.02469135802469136
23,23,0.4938271604938271,0.09876543209876543,0.1975308641975309,0.1358024691358025,0.02469135802469136,0.02469135802469136,0.01234567901234568,0.01234567901234568
24,24,0.382716049382716,0.1481481481481481,0.2469135802469136,0.1604938271604938,0.01234567901234568,0,0.01234567901234568,0.03703703703703703
25,25,0.4814814814814815,0.1111111111111111,0.1975308641975309,0.1481481481481481,0.01234567901234568,0.01234567901234568,0.01234567901234568,0.02469135802469136
26,26,0.4320987654320987,0.08641975308641975,0.2222222222222222,0.2098765432098765,0.01234567901234568,0,0,0.03703703703703703
27,27,0.4074074074074074,0.09876543209876543,0.2716049382716049,0.1851851851851852,0,0.01234567901234568,0.02469135802469136,0
28,28,0.4567901234567901,0.1111111111111111,0.2345679012345679,0.1728395061728395,0,0,0.01234567901234568,0.01234567901234568
29,29,0.5061728395061729,0.1234567901234568,0.2098765432098765,0.1234567901234568,0.01234567901234568,0.01234567901234568,0.01234567901234568,0
30,30,0.4691358024691358,0.1111111111111111,0.2345679012345679,0.1604938271604938,0,0,0.02469135802469136,0
31,31,0.4074074074074074,0.09876543209876543,0.1604938271604938,0.2469135802469136,0.03703703703703703,0.03703703703703703,0.01234567901234568,0
32,32,0.3950617283950617,0.1111111111111111,0.1728395061728395,0.1975308641975309,0.04938271604938271,0.04938271604938271,0.01234567901234568,0.01234567901234568
33,33,0.382716049382716,0.1234567901234568,0.2098765432098765,0.2222222222222222,0.01234567901234568,0.02469135802469136,0.01234567901234568,0.01234567901234568
34,34,0.4197530864197531,0.08641975308641975,0.1975308641975309,0.2345679012345679,0.02469135802469136,0.01234567901234568,0.01234567901234568,0.01234567901234568
35,35,0.4197530864197531,0.09876543209876543,0.2222222222222222,0.1975308641975309,0.01234567901234568,0.01234567901234568,0.02469135802469136,0.01234567901234568
36,36,0.5308641975308642,0.09876543209876543,0.1851851851851852,0.1234567901234568,0.01234567901234568,0.02469135802469136,0.01234567901234568,0.01234567901234568
37,37,0.4814814814814815,0.1481481481481481,0.1604938271604938,0.1234567901234568,0.01234567901234568,0.03703703703703703,0.02469135802469136,0.01234567901234568
38,38,0.4197530864197531,0.1358024691358025,0.1975308641975309,0.1851851851851852,0.01234567901234568,0.02469135802469136,0.01234567901234568,0.01234567901234568
39,39,0.4197530864197531,0.1234567901234568,0.2469135802469136,0.1358024691358025,0,0.03703703703703703,0.01234567901234568,0.02469135802469136
