,Timestamp,ANGRY,CONFUSED,SAD,SURPRISED,DISGUSTED,FEAR,HAPPY,ENGAGEMENT
0,0,49.51050156278096,46.93946613372706,48.80321338844653,47.1550739490658,48.42412531180468,47.62776510029727,47.92472929526348,45.97926121512667
1,1,50.67753634017337,45.99168566223404,50.9038933113145,47.3049976436476,49.70440152888687,48.58756657063495,50.01286066066227,47.01713672221187
2,2,48.44213104899802,48.67606753404947,50.5059071922486,44.59659732681638,47.6707810412288,44.61152844665008,47.6155872237434,49.56024037198812
3,3,47.79976079674928,47.32678903348955,50.59534088197287,46.74695791343452,47.10065736470484,46.05864875519141,46.52507016260195,49.06275499589128
4,4,48.98454381234951,48.21257488844495,49.73615676294072,47.66365685172806,47.77060640662511,47.72762363538185,46.32652530932654,47.59666286677528
5,5,49.58077245341245,50.02942687149444,49.80849889892778,50.66286318017517,49.79541843723126,50.21054863895059,49.05395531134376,49.11260899852556
6,6,52.94537677406724,46.94653067830643,51.5968006204827,52.34038767664616,51.78608011947696,51.30560485942005,49.85123356632586,48.90420606752994
7,7,48.11316968993687,46.36084686353541,49.54839461326248,50.19308161140243,48.16894701877994,48.16055196702725,46.86543900904847,48.34461958635486
8,8,50.67549659049634,47.99713953921163,49.29545686469393,50.89626144626275,49.71427815486468,50.16255605332938,47.46524557395297,50.32740554729281
9,9,50.27533800051306,48.20819541523287,49.61505319877384,51.275466273581,48.39642950450225,50.33861155358166,48.41962792461185,49.51855112118058
10,10,48.9011761245842,47.12859735199626,50.80155130554268,49.17810032515075,48.53034576637783,48.29967002992854,46.66925930301197,49.03485522443174
11,11,50.10209927606958,48.39944277534995,49.0596742396459,48.14038837947491,47.62110369984081,49.16245702186385,47.56465752969881,50.7659209995016
12,12,48.06330316541829,48.85361674291553,48.8404209749248,48.05772625680446,46.31876577024115,48.70029361362481,46.82654489362243,49.21329286052964
13,13,48.74686685148215,46.54474725296942,50.49500919478616,47.82830311832076,48.51481183094691,47.18811345563254,46.45777468955166,48.46109832935635
14,14,47.00668951601902,49.25834525040629,50.39920520173854,47.90955299755406,47.22189988610184,47.44851351358934,45.17436708002386,50.12769763930483
15,15,49.1875187822862,50.15021298974437,50.80055301857126,49.79197250097301,49.21020527182016,49.48928104722718,47.46077761096573,50.19017510869578
16,16,47.0786394442328,46.87989222418928,50.33113941901014,50.23692553871911,48.96121406090266,48.54983791906593,45.80540136138395,48.7600132633213
17,17,50.6035282716152,51.31493058153463,50.82956538092057,49.01622211833499,48.85085342997933,49.74217778468544,46.05164305271308,51.63592742687337
18,18,49.66379551200929,49.36797019939479,50.6641345300041,49.36468357058422,48.82008684275549,49.87139227881432,46.31250868480565,51.21150648102842
19,19,47.4955605208814,50.84261339602075,49.71224531658689,52.07422730013094,48.98885506898101,48.97394905054298,47.1508935762684,50.06150804024656
20,20,47.00512914103112,48.11867374973656,49.45761462082918,49.4117373061611,47.67681030463257,46.95509545843109,45.21996932258037,49.47744876587731
21,21,49.39489649963809,47.06499864372658,53.25332677017249,48.16777729528274,48.48928081184599,49.5017649458577,45.97819138304263,49.93952031555216
22,22,47.98255423944568,48.23674519104853,52.54120736198227,48.84521386176831,48.73376881681546,48.05739389062887,47.01493552856142,50.36808104625463
23,23,47.99811194299937,48.57624320551448,53.2967862965077,50.17496926644876,48.13933876155847,49.43744675345589,46.89554620147595,52.13794093684015
24,24,50.15908238806168,50.05879441580905,49.54271388143417,49.66189469837998,48.43310736920711,49.4874831786078,47.38785430107511,49.83016954265481
25,25,51.80248028003225,51.58971824727784,51.56048542428151,52.1489695675438,49.48778130074655,52.30541404647714,48.59058714011874,51.30164064608023
26,26,48.01916048375747,49.53447118679982,50.71969800146167,49.35199095915618,47.58530720158492,47.48447662877624,45.86011361452738,51.96616043949115
27,27,49.33148315017954,47.84612162117021,50.76888035149278,49.33378314478803,46.82292136065349,49.10921845626366,46.26173352018226,50.07919721377311
28,28,51.55249697044296,49.14912839771559,50.26423415224806,50.66315649323412,49.53738841793317,49.58867606335585,47.54292032891684,50.20901543567396
29,29,46.83416740042119,48.9012526503576,49.30271452598321,49.88611778892322,47.9214142562337,47.68901533513981,47.60501897173148,50.09432788155118
